jobno,CR1_mean,CR1_min,CR1_max,CR1_std,CR1_var,ER1_mean,ER1_min,ER1_max,ER1_std,ER1_var,ST1_mean,ST1_min,ST1_max,ST1_std,ST1_var,ST2_mean,ST2_min,ST2_max,ST2_std,ST2_var,prod_grade
65,51.75647668393783,27.0,161.0,25.963289493207782,674.0924013081136,62.002961865975564,2.0,100.0,16.26447742203578,264.5332258119117,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
66,40.037126837399605,7.0,86.0,23.313475754588186,543.5181517597712,36.510494014244586,0.0,100.0,30.390252081892857,923.5674216009932,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
67,39.81764878334799,9.0,56.0,9.131829930959714,83.39031788797169,52.3236903831118,0.0,100.0,14.994078710895748,224.82239638853707,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
68,40.723439099283524,11.0,186.0,15.584551601263229,242.87824861243627,66.0,1.0,100.0,21.093990841137035,444.9564496059731,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
69,41.3439978611532,5.0,253.0,11.869673186561972,140.88914155578823,56.36843515541265,0.0,100.0,17.264707900797497,298.07013889985944,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
70,37.29036218538981,5.0,187.0,13.34976612390043,178.2162555628395,44.50660035611224,0.0,100.0,27.846826080093447,775.4457227349726,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
71,60.09872493191384,5.0,86.0,25.068405989920794,628.4249788754968,61.83286908077994,0.0,100.0,23.14388455952299,535.6393925045267,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
72,28.77918974693168,5.0,56.0,17.401620321300893,302.8163898067122,30.820136852394917,0.0,100.0,27.070507508329896,732.8123767585453,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
74,57.1511920801359,6.0,164.0,28.625631151657853,819.4267588307646,113.67959458667761,1.0,12993.0,832.8085610801639,693570.0994084132,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
75,41.5722428748451,24.0,47.0,6.399013217222249,40.94737015418504,54.83163897842797,1.0,60.0,5.810471417351022,33.761578091853195,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
76,58.53923303834808,9.0,86.0,25.39821696893139,645.0694252009145,70.44998524638537,2.0,100.0,14.870681960338725,221.13718196554362,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
77,47.03364036844213,24.0,218.0,16.777214744767676,281.47493459204986,60.505188875051886,1.0,100.0,14.711355891589639,216.42399216900915,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
78,52.21870413084504,5.0,181.0,20.754095189405255,430.7324671308943,59.17330998248686,0.0,100.0,15.25633395912817,232.7557258724474,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
79,34.05412907702984,12.0,45.0,7.307234710849143,53.39567911943856,51.541666666666664,3.0,100.0,12.776626396309892,163.2421820708827,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
82,60.46607294317218,9.0,86.0,25.081363132820403,629.0747766004025,72.33114035087719,2.0,94.0,9.31904098821271,86.84452493998852,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
84,46.96978851963746,1.0,224.0,21.340297386226084,455.4082925325678,56.967925294356476,0.0,100.0,25.33605995125769,641.9159338537237,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
86,57.114543684163934,5.0,149.0,27.506057439469156,756.5831958633764,58.458521469676846,0.0,100.0,25.095730150763544,629.7956717999424,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
87,42.22207898746045,6.0,50.0,8.955312824893225,80.19762779169707,52.80086732301922,0.0,100.0,13.000557563500152,169.014496961881,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
88,52.282961065003065,6.0,94.0,23.568686548397984,555.482985616636,52.98980671754025,0.0,100.0,17.451053804563742,304.5392788897786,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
89,51.03770616319444,5.0,94.0,23.787653638816806,565.8524656403144,52.65557846754938,0.0,100.0,17.628488460178644,310.7636053906516,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
90,50.76416201937188,3.0,85.0,19.22934731307244,369.76779808676633,62.96976368706884,1.0,100.0,13.809998395511036,190.7160556840174,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
91,62.395601336302896,10.0,85.0,24.536978175293637,602.0632979748362,65.67694556591954,0.0,100.0,20.333593971869252,413.4550438128376,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
92,40.990294627383015,13.0,48.0,7.5254475412960655,56.632360696799,54.28190013869626,1.0,100.0,9.982256460686106,99.6454440469095,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
93,48.119140320822304,6.0,94.0,22.192305870460686,492.4984398480839,43.064551294529885,0.0,100.0,27.909145050173446,778.920377431621,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
94,38.44489491974185,7.0,56.0,11.317097247663723,128.0766901130778,49.24906909391808,0.0,100.0,18.510945575333434,342.6551060929565,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B
95,49.660899266476285,9.0,94.0,26.28105883367465,690.6940534190683,59.73901114284114,0.0,100.0,27.417258138667975,751.7060438423554,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B-
96,49.15317615257546,8.0,94.0,22.273167246108873,496.0939791731371,53.35942312025839,1.0,100.0,16.800277853811284,282.24933596526193,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
97,38.57241651847461,8.0,59.0,11.155876113686205,124.4535718639144,37.154525095507836,0.0,100.0,26.045267080571993,678.3559372983271,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
98,39.7749797352067,9.0,60.0,11.467677219823559,131.5076208180602,57.774781104745436,0.0,100.0,23.79055970182461,565.990730926081,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
99,52.199286618340814,9.0,85.0,22.52849318117468,507.5330050142341,53.59473764958576,0.0,100.0,26.46119376989701,700.1947757280365,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
100,42.02088772845953,13.0,48.0,7.296245547926243,53.23519909563352,55.5636785610676,3.0,100.0,5.767898347846212,33.268651351087065,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
101,41.72025161628517,11.0,57.0,9.246690672587933,85.50128839452469,53.40429806936315,1.0,100.0,15.932308397066974,253.8384508592508,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
102,49.67538717298101,12.0,141.0,19.85151761701392,394.082751698614,54.097054182009465,0.0,100.0,20.266738495892596,410.7406892608949,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
103,44.083976833976834,13.0,253.0,17.16474253525905,294.6283863017314,64.25606736007924,1.0,100.0,20.294665446299575,411.873445577226,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
104,43.342932354818124,11.0,93.0,14.894070141953453,221.83332539342936,55.23358595931392,1.0,100.0,16.68346861790299,278.33812512455387,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
105,48.755568513119535,12.0,94.0,21.256282299481256,451.8295371952402,48.10612657440522,0.0,100.0,23.074044920245896,532.4115489815255,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
106,57.65553525758129,17.0,241.0,24.207394901840672,585.9979679336617,58.37510980966325,0.0,100.0,16.887971975132192,285.2035974328503,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
107,59.28523750388078,13.0,237.0,24.266542281449794,588.8650742973906,54.024011850003895,0.0,100.0,13.391688868912313,179.33733076174997,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
108,44.44002538607997,13.0,157.0,14.573144703009286,212.37654653484762,58.587313353807055,1.0,100.0,13.930900220410974,194.06998095104652,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
109,45.79087098276665,16.0,56.0,10.224913078322029,104.54884745924087,52.59711224965068,0.0,100.0,29.898146081459462,893.8991391082898,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
110,49.36672051696284,13.0,94.0,20.699696185920352,428.47742218940556,52.73899286387505,0.0,100.0,17.133770338087682,293.5660859983333,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
111,53.04945054945055,13.0,95.0,23.217776752458445,539.0651573269997,52.604429150246986,0.0,100.0,19.098873577899706,364.76697194459547,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
112,51.59092574179706,14.0,155.0,23.695431639012686,561.4734805591233,47.14958898371643,0.0,100.0,26.548279882953075,704.811164743611,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
113,57.8599931787176,16.0,95.0,25.987727766007843,675.3619944401349,49.39213511899684,0.0,100.0,18.02057714729319,324.74120072154545,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
114,51.80833697711704,15.0,95.0,22.06264533505859,486.7603191805826,54.004032453966865,0.0,100.0,19.026765748626143,362.017814853093,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
115,71.7325253664036,19.0,95.0,26.385050151160815,696.1708714792713,54.77406624383369,1.0,88.0,21.780813533927656,474.4038381997261,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
116,59.367815133060816,16.0,253.0,25.579568186671484,654.3143086165759,56.08217920907725,0.0,100.0,17.617575831518675,310.3789781793109,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
117,40.8938815018595,14.0,59.0,8.503071152967129,72.30221903242173,45.36274709598533,1.0,100.0,22.269667885786752,495.93810774324186,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
118,43.66041118814248,21.0,157.0,24.27043466743703,589.0539989463292,30.79463858305409,0.0,100.0,26.896636790667618,723.4290706490948,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
119,65.59565869991918,22.0,95.0,27.94236479262365,780.7757502040537,55.93879907621247,0.0,100.0,20.458379167253263,418.5452781511023,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
120,49.76582926929224,16.0,95.0,21.554943091030495,464.61557165756324,46.55770491803279,0.0,100.0,25.90594262900873,671.1178634974918,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
121,49.88284705777222,16.0,96.0,21.72740866017013,472.080287086036,49.92251664506904,1.0,100.0,19.114162861821644,365.35122190824177,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
122,62.62168772931105,18.0,95.0,27.347620291873536,747.8923356284931,55.250229334420546,0.0,100.0,17.587928764487067,309.33523822467157,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
123,52.26658511339042,17.0,95.0,22.041381467600964,485.82249700030314,51.72181441746659,0.0,100.0,18.882122054600607,356.53453328483465,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
124,58.51952900631821,2.0,173.0,24.19850812577209,585.5677955130578,57.55272622644224,0.0,100.0,18.737017137562177,351.0758112132987,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
125,51.02917162108601,18.0,95.0,21.598288548981927,466.4860682450838,53.82399112027274,0.0,100.0,16.198002906269846,262.3752981515264,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
126,48.05770660179742,18.0,95.0,18.931690035238613,358.40888759035306,53.43322519599892,1.0,100.0,17.10021952212537,292.4175077048776,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
127,53.4006198760248,18.0,95.0,22.049146171419853,486.16484688863875,54.01654669066187,0.0,100.0,20.249838709409634,410.0559677571048,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
128,50.00019595035924,20.0,95.0,20.989091660625473,440.5419687381377,51.43318092749837,0.0,100.0,22.258038661725788,495.42028506687984,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
131,54.76749826749827,11.0,157.0,24.941629944592847,622.0849042930106,62.54906054279749,0.0,100.0,20.75105857634244,430.6064320387951,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
132,43.31997918834547,22.0,56.0,7.236549020807675,52.36764173055252,53.501300954032956,1.0,100.0,15.99660732659007,255.8914459611151,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
133,62.68072358566655,21.0,88.0,24.173854357703714,584.3752345074709,59.55422381007261,0.0,100.0,17.485223089083792,305.7330264750289,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B-
134,61.586666666666666,24.0,87.0,23.19002052694407,537.7770520400874,66.52566683442376,0.0,100.0,13.213151091523525,174.58736176742931,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
135,60.37117441491051,24.0,184.0,21.61855691629178,467.36200314294723,64.6544818817546,0.0,100.0,13.523970239979775,182.89777105185863,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
136,45.27655430711611,24.0,222.0,7.248753220160532,52.54442324678768,55.30709134615385,3.0,90.0,5.369030839410388,28.826492154539814,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
137,53.955195107358904,23.0,86.0,19.814727884370615,392.62344113165443,57.329166943687255,0.0,100.0,22.65717750406964,513.3476924509193,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
138,55.75319358008516,23.0,95.0,21.557852766369532,464.74101589646654,52.68153526970954,0.0,100.0,18.06124412071321,326.2085391879975,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
139,46.46513157894737,22.0,94.0,16.210827908900704,262.7909414919939,43.47795762600342,0.0,100.0,24.163363579774447,583.8681394883702,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
140,57.077211966900066,24.0,157.0,21.608106448731256,466.91026429970134,53.57662652137896,0.0,100.0,17.602887718831987,309.861656041806,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
141,42.721661054994385,24.0,57.0,8.754629185111044,76.64353216879806,47.29682896029185,0.0,100.0,24.154582268606923,583.4438445709,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
